procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0      0 366846804 1628856 135328496    0    0     0    22 18455 2417 12  0 88  0  0  0
18  0      0 366851532 1628860 135328484    0    0     0    13 20376 7592 12  0 87  0  0  0
18  0      0 366856732 1628860 135328508    0    0     0    14 19290 3925 12  0 87  0  0  0
17  0      0 366856396 1628860 135328512    0    0     0    16 19631 5793 13  0 87  0  0  0
17  0      0 366841956 1628860 135328544    0    0     0    18 19486 5530 12  0 88  0  0  0
 9  0      0 366840860 1628860 135328544    0    0     0    66 13101 4920  8  0 92  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 366783396 1628864 135329636    0    0     0   108 15717 7960  6  0 93  0  0  0
 2  0      0 366792660 1628864 135329672    0    0     0   181 9367 4834  5  0 95  0  0  0
 2  0      0 366812444 1628864 135329696    0    0     0    18 3471 4784  1  0 99  0  0  0
 2  0      0 366826880 1628876 135329696    0    0     0    21 3274 4703  1  0 99  0  0  0
 3  0      0 366828552 1628876 135329728    0    0     0    20 4856 4866  1  0 98  0  0  0
 3  0      0 366836508 1628876 135329728    0    0     0    13 5233 4628  2  0 98  0  0  0
33  0      0 366834224 1628876 135329756    0    0     0    21 18434 4861 12  0 88  0  0  0
33  0      0 366846468 1628876 135329756    0    0     0    10 34555 5011 24  0 76  0  0  0
 5  0      0 366855204 1628880 135329780    0    0     0    16 36288 7567 25  0 75  0  0  0
 3  0      0 366846852 1628888 135329784    0    0     0     6 4301 2266  2  0 98  0  0  0
 3  0      0 366854208 1628896 135329848    0    0     0    20 6323 7535  2  0 98  0  0  0
 5  0      0 366853924 1628900 135329848    0    0     0    70 5438 1978  2  0 97  0  0  0
 5  0      0 366960208 1628900 135330900    0    0     0    21 8859 7709  3  0 97  0  0  0
 6  0      0 366824216 1628912 135330900    0    0     0   142 10327 5042  3  0 96  0  0  0
 5  0      0 366826488 1628912 135330944    0    0     0   139 8210 7395  3  0 97  0  0  0
 4  0      0 366826688 1628916 135330944    0    0     0    14 6374 1993  3  0 97  0  0  0
 1  1      0 366829088 1628916 135330980    0    0     0    22 5435 7374  2  0 98  0  0  0
 2  1      0 366829884 1628920 135330984    0    0     0    26 3326 4659  1  0 99  0  0  0
65  0      0 366821244 1628920 135331040    0    0     0    16 17217 6185 11  0 89  0  0  0
65  0      0 366829204 1628920 135331044    0    0     0     9 67125 5357 50  0 50  0  0  0
65  0      0 366835508 1628920 135331068    0    0     0     9 66902 4976 50  0 50  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 366840964 1628928 135331068    0    0     0    17 16145 4771 10  0 90  0  0  0
 2  0      0 366843876 1628928 135331100    0    0     0     4 5484 4974  2  0 98  0  0  0
 8  0      0 366836452 1628932 135331100    0    0     0    84 7559 4895  3  0 97  0  0  0
 8  0      0 366847928 1628932 135332152    0    0     0    11 11557 5178  6  0 94  0  0  0
10  0      0 366938608 1628944 135332132    0    0     0    54 13688 8662  6  0 93  0  0  0
33  0      0 366795348 1628948 135332224    0    0     0   228 35978 3928 24  0 76  0  0  0
33  0      0 366819392 1628948 135332236    0    0     0    22 34854 8337 24  0 76  0  0  0
